Sample,Rep,cm
Y4I,1a,1.4
Y4I,1b,1.3
Y4I,1c,1.2
Y4I,2a,1.3
Y4I,2b,1.2
Y4I,2c,1.25
Y4I,3a,1.4
Y4I,3b,1.4
Y4I,3c,1.35
pgaR::TN5,1a,2.5
pgaR::TN5,1b,2
pgaR::TN5,1c,1.45
pgaR::TN5,2a,2
pgaR::TN5,2b,1.45
pgaR::TN5,2c,1.45
pgaR::TN5,3a,1.95
pgaR::TN5,3b,1.8
pgaR::TN5,3c,1.85
phaR::TN5,1a,1.4
phaR::TN5,1c,1.4
phaR::TN5,2a,1.5
phaR::TN5,2b,1.4
phaR::TN5,2c,1.4
phaR::TN5,3a,1.2
phaR::TN5,3c,1.3
phaI::pKNOCK3464,1a,1.65
phaI::pKNOCK3464,1b,1.45
phaI::pKNOCK3464,1c,1.25
phaI::pKNOCK3464,2a,1.25
phaI::pKNOCK3464,2b,1.3
phaI::pKNOCK3464,2c,1.2
phaI::pKNOCK3464,3a,1.32
phaI::pKNOCK3464,3c,1.7
igiD::TN5,1a,1.2
igiD::TN5,1b,1.2
igiD::TN5,1c,1.2
igiD::TN5,2a,1
igiD::TN5,2b,1.1
igiD::TN5,2c,1
igiD::TN5,3a,1.3
igiD::TN5,3b,1.2
igiD::TN5,3c,1.1
